original,duplicate,label
data\raw\dataset1\train\eksim\ek54_jpg.rf.3b79f013f97711cdb2b27c1e430f05b5.jpg,data\raw\dataset1\train\eksim\ek54_jpg.rf.b24228e39dd59dde34022b4a7d15c488.jpg,eksim
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-chapped-fissured-feet-11.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-chapped-fissured-feet-3.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-chapped-fissured-feet-12.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-chapped-fissured-feet-4.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03Desquamation-01.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-desquamation-1.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03Desquamation1234.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-desquamation-5.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03Desquamation12341.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-desquamation-6.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03Desquamation-035.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-desquamation-9.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-acute-12.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-acute-13.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03DermatitisArm.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-1.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-ears-5.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-face-7.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-acute-1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-1.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-fingertips-66.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-100.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-Dyshidrosis-38.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-127.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-Dyshidrosis-36.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-17.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-Dyshidrosis-37.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-18.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-fingertips-16.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-19.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-95.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-hand-96.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-25.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-impetiginized-7.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-8.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-1.jpg,1. Eczema 1677
